#,Country/territory,Date of first store,First outlet location,No. ofoperatingoutlets,Source and date of source,Population per outlet,Notes
12,France(details),"June 30, 1972",Créteil,"1,629[note 1]","(source: Corporate McDonald's December 31, 2025)[5]","40.0,974","First outlet in Créteil in 1972 even though McDonald's officially recognizes the first outlet in Strasbourg in 1979. In 2019, France was the largest European market for the hamburger chain. SeeMcDonald's France."
13,El Salvador,"July 20, 1972",San Salvador,28,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,259",
14,Sweden,"October 27, 1973","Kungsgatan4,Stockholm",205,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,200",First outlet inScandinavia. SeeMcDonald's Sweden
15,Guatemala,"June 6, 1974",Guatemala City,124,"(source: Corporate McDonald's December 31, 2025)[5]","152.0,968",SeeMcDonald's Guatemala
16,Curaçao(part ofNetherlands Antillesat the time),"August 16, 1974",Willemstad,5,"(source: Corporate McDonald's December 31, 2025)[5]",37.0000088,
17,United Kingdom,"England: November 13, 1974[25]Wales: December 3, 1984Scotland: November 23, 1987[26]Northern Ireland: October 12, 1991","Woolwich,London(England)Cardiff(Wales)Dundee(Scotland)Belfast(Northern Ireland)",1.00000005,"(source: Corporate McDonald's December 31, 2025)[5]","46.0,466",SeeMcDonald's UK
18,Hong Kong(British Hong Kong at the time),"January 8, 1975","Paterson Street,Causeway Bay,Hong Kong Island(now closed)[27]",266,"(source: Corporate McDonald's December 31, 2025)[5]","27.0,739",First outlet in aChinese-speakingterritory. Hong Kong was then a BritishCrown colony/Dependent Territory; McDonald's would open up a restaurant in China itself 15 years later. SeeMcDonald's Hong Kong
19,Bahamas,"August 4, 1975",Nassau,3,"(source: Corporate McDonald's December 31, 2025)[5]","134.0,876",First outlet in an independent country of the Caribbean. SeeMcDonald's Bahamas
20,New Zealand(details),"June 7, 1976","PoriruaCentral,Wellington[28]",176,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,042","Founded in New Zealand by Wally andHugh Morris[29]FirstSouth Islandrestaurants opened atLinwoodandMerivale, bothChristchurch, on November 3, 1987.[30]SeeMcDonald's New Zealand."
21,Switzerland,"October 20, 1976",Geneva,188,"(source: Corporate McDonald's December 31, 2025)[5]","47.0,914",First outlet in alandlocked country. SeeMcDonald's Switzerland
22,Ireland,"May 9, 1977","Grafton Street,Dublin",95,"(source: Corporate McDonald's December 31, 2025)[5]","56.0,389","First drive-thru in Europe opened in Nutgrove, Dublin and first McCafé in Europe Grafton Street, Dublin. SeeMcDonald's Ireland"
23,Austria,"July 21, 1977","Schwarzenbergplatz,Vienna",212,"(source: Corporate McDonald's December 31, 2025)[5]","42.0,959",SeeMcDonald's Austria
24,Belgium,"March 21, 1978",Brussels,128,"(source: Corporate McDonald's December 31, 2025)[5]","91.0,989",SeeMcDonald's Belgium
25,Brazil,"February 13, 1979","Copacabana,Rio de Janeiro","0.0,230","(source: Corporate McDonald's December 31, 2025)[5]","0.0,628","First outlet opened inCopacabana, Rio de Janeiro, in 1979. First outlet opened inSouth Americaand first outlet in alusophonecountry. Locally known as Méqui."
26,Singapore,"October 20, 1979","Liat Towers,Orchard Road",153,"(source: Corporate McDonald's December 31, 2025)[5]",38.000000000,First outlet inSoutheast AsiaatLiat Towers. SeeMcDonald's Singapore[31]
